variable,results,se,(lower,upper),missInfo,or,ll,ul,z,p_value,race,model
as.factor(x1locale)2,0.039504114362787585,0.2928571459018082,-0.5346412867531446,0.6136495154787197,7 %,1.04029477902628,0.5858794151625056,1.847160352901565,0.13489209642175806,0.8926971885782691,Multiracial,weighted
as.factor(x1locale)3,-0.8230023852782786,0.5011326110220677,-1.805264641873202,0.15925987131664476,4 %,0.4391112921005935,0.1644309355078751,1.172642643275712,-1.6422846312072017,0.10053103063611335,Multiracial,weighted
as.factor(x1locale)4,-0.19895726176085637,0.31817234070437905,-0.8228415469126455,0.4249270233909328,9 %,0.819584920200745,0.43918192372313114,1.5294787994141732,-0.6253128770414144,0.5317657301112642,Multiracial,weighted
(Intercept),-7.967302006522032,0.5494739082958806,-9.044299694127695,-6.890304318916369,3 %,3.4661288480360066e-4,1.1806211258737902e-4,0.0010176041176881102,-14.499873217331732,0,White,weighted
as.numeric(math_4level),0.64227816451386,0.07931014635666425,0.48679022151278173,0.7977661075149383,7 %,1.9008062998844775,1.6270852460929999,2.220574858235796,8.098310166084957,6.661338147750939e-16,White,weighted
as.numeric(par_exp),0.36383999873122747,0.0417762795586207,0.2819536084420633,0.44572638902039163,4 %,1.4388439788773828,1.3257172164731255,1.5616241305663594,8.709248467678536,0,White,weighted
as.numeric(par_sch_inv),0.06375256582824652,0.026538107131380814,0.011716275858238152,0.1157888557982549,9 %,1.0658286437041578,1.0117851802562663,1.1227587830971386,2.4023026779050234,0.016292221618910974,White,weighted
female1,0.35661671851914784,0.0754851055076615,0.20864959753824075,0.5045838395000549,5 %,1.4284882518221176,1.2320132224209106,1.6562960920046497,4.724332252313701,2.3087269449550973e-6,White,weighted
par_ba,0.2603231459154899,0.1018519097592387,0.0606848673959664,0.45996142443501337,3 %,1.297349252048097,1.0625640128564788,1.5840128796241246,2.5558985249353823,0.01059140007142556,White,weighted
as.factor(first_lang)2,-0.21559698161127297,0.3440805671391989,-0.8899878832326984,0.4587939200101525,1 %,0.8060600934606761,0.4106607286026882,1.582164616715631,-0.6265886603356258,0.5309289033769624,White,weighted
as.factor(first_lang)3,-0.23217680057005946,0.45607856406004516,-1.1260977904393394,0.6617441892992204,2 %,0.7928059423724563,0.3242962625384718,1.9381699232087621,-0.5090719425688512,0.6107017975565256,White,weighted
frpl1,-0.34739769498231643,0.10697994484134363,-0.5571528849598546,-0.13764250500477831,9 %,0.7065242912124423,0.5728376790929061,0.8714101608394454,-3.247316078705442,0.0011649893229821462,White,weighted
math_score,0.07806014753265526,0.0067370440222455,0.06485538279145524,0.09126491227385529,2 %,1.0811876874861417,1.06700470598383,1.0955591938967006,11.586705872026842,0,White,weighted
public,0.816324508170573,0.1674898343584187,0.48803557421941596,1.14461344212173,3 %,2.262169951522359,1.6291128033580649,3.1412268561282115,4.873874950665275,1.0943027290988283e-6,White,weighted
as.factor(x1locale)2,-0.19228909751115353,0.12085476297137987,-0.42916323124197475,0.04458503621966772,2 %,0.8250683088152294,0.6510536482114914,1.0455938862815322,-1.5910758730848724,0.11159250154678269,White,weighted
as.factor(x1locale)3,-0.41456059413023655,0.24306648900209385,-0.8909749620260741,0.06185377376560103,2 %,0.6606305018581354,0.4102555740988177,1.0638067768951482,-1.7055440090989482,0.0880930117209422,White,weighted
as.factor(x1locale)4,-0.49446316253610834,0.1853401481864656,-0.8577268466492608,-0.13119947842295587,1 %,0.6098982356494447,0.4241250887390392,0.8770428058246262,-2.6678686046945566,0.007633410459007228,White,weighted
