results,se,(lower,upper),missInfo,or,ll,ul,race,model
-8.502744420192533,1.5702896801351114,-11.58081777498153,-5.424671065403537,4 %,2.0291073185552678e-4,9.343610894946213e-6,0.00440651537880447,Asian American,unweighted
0.8143474711915809,0.27112086604555735,0.2828047865132327,1.3458901558699292,7 %,2.257701976007164,1.326846118276431,3.841604645976523,Asian American,unweighted
0.1913868208539162,0.10651123609347411,-0.017562826040715712,0.40033646774854814,12 %,1.2109277736126123,0.9825905014549842,1.4923267329931302,Asian American,unweighted
0.1259251717952107,0.0887113406101575,-0.04798233136037394,0.29983267495079535,6 %,1.1341972951601391,0.95315062780368,1.3496329612800044,Asian American,unweighted
0.01143363728519097,0.30326692405515615,-0.5852661552385781,0.60813342980896,25 %,1.0114992511458896,0.5569576048991622,1.8369993085091896,Asian American,unweighted
0.35174292082956893,0.38381964622018044,-0.40057763200977137,1.1040634736689092,3 %,1.4215430276375987,0.6699329595277993,3.0163982092318844,Asian American,unweighted
-0.35568196170566707,0.40079104701325424,-1.141407688466104,0.4300437650547699,6 %,0.700695432782202,0.31936913299399666,1.5373248031802325,Asian American,unweighted
0.22659478855337264,0.3616991769621024,-0.48263932994882297,0.9358289070555683,8 %,1.2543214995195275,0.6171523716153466,2.54932573626651,Asian American,unweighted
0.09211564435297974,0.026837728167172527,0.03950385034086235,0.14472743836509713,6 %,1.0964916178127602,1.0402945043656857,1.155724521169836,Asian American,unweighted
0.1485812868534222,0.42154527734372005,-0.6781165789391329,0.9752791526459773,10 %,1.1601871019004268,0.5075720645980575,2.6519073946317864,Asian American,unweighted
0.47722459179474946,0.3412897667511817,-0.191874636326187,1.146323819915686,7 %,1.6115953545047388,0.8254103384782929,3.1466041380696352,Asian American,unweighted
-0.18899701402708705,0.6516749344941059,-1.467320915788933,1.0893268877347588,12 %,0.8277889784465107,0.2305423008053696,2.9722727258457096,Asian American,unweighted
0.5264774126284028,0.47492008582271955,-0.40455742167274555,1.457512246929551,6 %,1.6929581994612866,0.6672720656716129,4.295260677874246,Asian American,unweighted
