or,se,ll,ul,p.value,race,model
8.534040168171e-4,0.6568720866526913,2.355180239373588e-4,0.0030923256052507817,2.1694326135340733e-25,Asian American,unweighted
2.226606467557579,0.12149480009480723,1.7547970873543302,2.8252704526903294,8.859988444502916e-11,Asian American,unweighted
1.248531390523344,0.0647829452320698,1.0996541634901191,1.4175644351444878,6.521335731316258e-4,Asian American,unweighted
1.1184734599887947,0.046258322061703896,1.021528595195954,1.2246185633788713,0.015731544253593927,Asian American,unweighted
1.0738129970309236,0.1563324037823296,0.7904206409522655,1.4588110340885818,0.6488405926252001,Asian American,unweighted
0.9439874356973765,0.18535877472008974,0.6564301783742413,1.357512661836323,0.7558976709959806,Asian American,unweighted
0.9531233490447489,0.20571861253471435,0.6368557998774063,1.4264518257808945,0.8155255295340654,Asian American,unweighted
0.6130589436414817,0.20487720000633677,0.41030843364789304,0.9159969368344456,0.017149361184401298,Asian American,unweighted
0.9809174202664107,0.19746043871076085,0.6661220610785629,1.4444784846551237,0.9223083227859827,Asian American,unweighted
1.0780952000302508,0.010221712292230376,1.0567113573521478,1.099911770836523,4.578044675538427e-13,Asian American,unweighted
1.1242570470872084,0.20951958780910074,0.745628023421431,1.6951534387420137,0.5763282066909068,Asian American,unweighted
1.137421327481542,0.1900031655528814,0.7837731463605094,1.650639961597768,0.4982527355575401,Asian American,unweighted
1.1351678636675926,0.35419705164748727,0.5669790486581722,2.272757841322877,0.7205864483667829,Asian American,unweighted
1.6507755406000095,0.2360195652673179,1.0394121931987506,2.621731689578307,0.03412861548826928,Asian American,unweighted
1.569516464386842e-4,0.7777685743303921,3.417653780159551e-5,7.207815918282896e-4,7.635720242770277e-27,Black,unweighted
1.6284055473444756,0.11394183319104016,1.3024921332250687,2.0358699749352347,2.159233399832776e-5,Black,unweighted
1.4475759721103358,0.06859364071154089,1.2654772816592592,1.6558781618613123,9.751854570452313e-8,Black,unweighted
1.2054302914562287,0.048136610669049604,1.096902795851225,1.3246954908457813,1.1490068607430051e-4,Black,unweighted
1.475389417994142,0.15117028515125766,1.097059756779528,1.9841890300662548,0.010291596209986481,Black,unweighted
1.383990878819359,0.16724468518633281,0.9971816860787122,1.9208442948720459,0.05229465402881541,Black,unweighted
